feature_id,feature_name,feature_type,compartment,channel,unit,software,version
{compartment}_zernike_5_5,"{Compartment} Zernike Moment (5,5)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_6_0,"{Compartment} Zernike Moment (6,0)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_6_2,"{Compartment} Zernike Moment (6,2)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_6_4,"{Compartment} Zernike Moment (6,4)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_6_6,"{Compartment} Zernike Moment (6,6)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_7_1,"{Compartment} Zernike Moment (7,1)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_7_3,"{Compartment} Zernike Moment (7,3)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_7_5,"{Compartment} Zernike Moment (7,5)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_7_7,"{Compartment} Zernike Moment (7,7)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_8_0,"{Compartment} Zernike Moment (8,0)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_8_2,"{Compartment} Zernike Moment (8,2)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_8_4,"{Compartment} Zernike Moment (8,4)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_8_6,"{Compartment} Zernike Moment (8,6)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_8_8,"{Compartment} Zernike Moment (8,8)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_9_1,"{Compartment} Zernike Moment (9,1)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_9_3,"{Compartment} Zernike Moment (9,3)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_9_5,"{Compartment} Zernike Moment (9,5)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_9_7,"{Compartment} Zernike Moment (9,7)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_9_9,"{Compartment} Zernike Moment (9,9)",shape,{compartment},,,cp_emulator,
{compartment}_{channel}_center_mass_c,{Compartment} {Channel} Center of Mass Column,intensity,{compartment},{channel},pixels,cp_emulator,
{compartment}_{channel}_center_mass_r,{Compartment} {Channel} Center of Mass Row,intensity,{compartment},{channel},pixels,cp_emulator,
{compartment}_{channel}_foci_area,{Compartment} {Channel} Foci Total Area,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_foci_count,{Compartment} {Channel} Foci Count,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_frac_at_d_0,{Compartment} {Channel} Fraction at Distance 0,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_frac_at_d_1,{Compartment} {Channel} Fraction at Distance 1,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_frac_at_d_2,{Compartment} {Channel} Fraction at Distance 2,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_frac_at_d_3,{Compartment} {Channel} Fraction at Distance 3,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_0,{Compartment} {Channel} Haralick (d=5) Feature 0,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_1,{Compartment} {Channel} Haralick (d=5) Feature 1,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_10,{Compartment} {Channel} Haralick (d=5) Feature 10,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_11,{Compartment} {Channel} Haralick (d=5) Feature 11,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_12,{Compartment} {Channel} Haralick (d=5) Feature 12,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_2,{Compartment} {Channel} Haralick (d=5) Feature 2,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_3,{Compartment} {Channel} Haralick (d=5) Feature 3,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_4,{Compartment} {Channel} Haralick (d=5) Feature 4,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_5,{Compartment} {Channel} Haralick (d=5) Feature 5,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_6,{Compartment} {Channel} Haralick (d=5) Feature 6,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_7,{Compartment} {Channel} Haralick (d=5) Feature 7,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_8,{Compartment} {Channel} Haralick (d=5) Feature 8,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_haralick_5_9,{Compartment} {Channel} Haralick (d=5) Feature 9,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_integrated,{Compartment} {Channel} Integrated Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_integrated_edge,{Compartment} {Channel} Integrated Edge Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_lower_quartile,{Compartment} {Channel} Lower Quartile Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mad,{Compartment} {Channel} Median Absolute Deviation,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mass_displacement,{Compartment} {Channel} Mass Displacement,intensity,{compartment},{channel},pixels,cp_emulator,
{compartment}_{channel}_max,{Compartment} {Channel} Max Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_max_edge,{Compartment} {Channel} Max Edge Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_max_location_c,{Compartment} {Channel} Max Intensity Location Column,intensity,{compartment},{channel},pixels,cp_emulator,
{compartment}_{channel}_max_location_r,{Compartment} {Channel} Max Intensity Location Row,intensity,{compartment},{channel},pixels,cp_emulator,
{compartment}_{channel}_mean,{Compartment} {Channel} Mean Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mean_edge,{Compartment} {Channel} Mean Edge Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mean_frac_0,{Compartment} {Channel} Mean Fraction Ring 0,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mean_frac_1,{Compartment} {Channel} Mean Fraction Ring 1,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mean_frac_2,{Compartment} {Channel} Mean Fraction Ring 2,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_mean_frac_3,{Compartment} {Channel} Mean Fraction Ring 3,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_median,{Compartment} {Channel} Median Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_min,{Compartment} {Channel} Min Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_min_edge,{Compartment} {Channel} Min Edge Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_0,{Compartment} {Channel} PFTAS Feature 0,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_1,{Compartment} {Channel} PFTAS Feature 1,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_10,{Compartment} {Channel} PFTAS Feature 10,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_11,{Compartment} {Channel} PFTAS Feature 11,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_12,{Compartment} {Channel} PFTAS Feature 12,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_13,{Compartment} {Channel} PFTAS Feature 13,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_14,{Compartment} {Channel} PFTAS Feature 14,texture,{compartment},{channel},,cp_emulator,
